salary,age,city_type,risk_appetite,years_to_retirement,basic_salary,hra_received,special_allowance,bonus,employer_pf,is_rented,rent_paid,existing_80C,existing_80D,existing_NPS,existing_80G,has_home_loan,home_loan_interest,has_education_loan,education_loan_interest,parent_senior,has_girl_child,gap_80C,gap_80D,gap_NPS,suggest_80C_topup,suggest_80D,suggest_NPS,best_80C_instrument,recommended_regime
1655531,34,1,1,26,702746,279274,191571,19863,21600,0,0,59163,17101,32307,5486,0,0,0,0,0,0,90837,7899,17693,1,1,1,PPF,1
2617336,42,1,3,18,1110177,349028,381983,138676,21600,1,505176,89930,6801,37614,6731,0,0,0,0,1,0,60070,68199,12386,1,1,1,PPF,0
3125104,28,1,1,32,1162509,497939,337471,217996,21600,1,272988,132396,3141,23803,19870,0,0,0,0,0,1,17604,21859,26197,1,1,1,SSY,1
326790,48,0,1,12,134238,59449,55200,30085,16108,1,531576,80219,504,33982,34299,0,0,1,113333,0,0,69781,24496,16018,1,1,1,FD,0
1725541,53,1,1,7,841835,305794,282038,15619,21600,0,0,52528,5645,42356,44597,0,0,1,34504,0,1,97472,19355,7644,1,1,1,SSY,0
1224618,33,1,1,27,490274,167879,193026,57057,21600,0,0,33307,4964,4835,20159,0,0,0,0,0,0,116693,20036,45165,1,1,1,PPF,0
2304168,54,1,2,6,832795,445656,299534,160691,21600,1,60108,58141,23793,29548,37892,0,0,0,0,0,0,91859,1207,20452,1,1,1,NSC,1
327712,39,1,1,21,162377,82898,59184,18431,19485,1,64608,404,8175,47926,29189,0,0,0,0,0,0,149596,16825,2074,1,1,1,PPF,0
2632517,24,1,3,36,1019053,420497,251403,301386,21600,1,323388,37744,45543,42783,26657,0,0,0,0,1,0,112256,29457,7217,1,1,1,ELSS,0
3198073,55,1,3,5,1583673,510104,559720,226406,21600,1,243048,44238,1252,39764,12173,0,0,0,0,0,0,105762,23748,10236,1,1,1,NSC,0
3002757,55,0,2,5,1458210,564420,425426,282374,21600,1,118248,43088,18564,37660,39811,0,0,0,0,0,0,106912,6436,12340,1,1,1,NSC,0
1859312,41,1,3,19,827412,297898,165671,28755,21600,0,0,137162,11637,22415,24071,0,0,0,0,0,0,12838,13363,27585,1,1,1,PPF,1
2569464,24,1,2,36,985588,498163,311958,107183,21600,0,0,39749,16907,18777,27693,0,0,0,0,1,0,110251,58093,31223,1,1,1,ELSS,0
1561466,30,0,2,30,583280,229999,125403,162698,21600,0,0,50428,22195,302,17022,1,189789,0,0,0,0,99572,2805,49698,1,1,1,ELSS,0
367661,45,1,1,15,166577,85139,62485,1344,19989,1,339996,105186,1906,35854,46271,0,0,0,0,0,0,44814,23094,14146,1,1,1,PPF,1
2619049,38,0,1,22,1149864,540178,457549,156653,21600,0,0,26069,14369,12910,7943,0,0,0,0,0,1,123931,10631,37090,1,1,1,SSY,0
2760072,58,0,2,2,1374453,620488,299377,33711,21600,0,0,72303,11613,10589,13918,0,0,0,0,0,0,77697,13387,39411,1,1,1,NSC,0
718034,52,1,3,8,355728,183689,127844,22221,21600,0,0,13234,5560,846,10954,0,0,0,0,0,0,136766,19440,49154,1,1,1,NSC,0
2534693,47,0,2,13,930803,421332,290566,176791,21600,0,0,105292,18410,47362,20128,0,0,0,0,0,0,44708,6590,2638,1,1,1,PPF,1
703081,23,0,3,37,326253,146458,96033,34746,21600,0,0,106288,17988,31037,12219,1,177309,1,111834,0,0,43712,7012,18963,1,1,1,ELSS,0
2743851,56,0,2,4,1017875,507733,285896,53885,21600,0,0,131149,7577,20611,16984,1,93303,0,0,0,0,18851,17423,29389,1,1,1,NSC,0
1388287,54,1,2,6,565843,246644,262076,103994,21600,0,0,54917,17586,24519,31273,0,0,0,0,0,1,95083,7414,25481,1,1,1,SSY,0
1616128,51,1,3,9,625883,304170,135793,110521,21600,1,344520,71907,6359,40631,35996,0,0,0,0,0,0,78093,18641,9369,1,1,1,NSC,1
2760491,23,0,2,37,1214214,615241,538541,113464,21600,0,0,55318,814,49497,10541,0,0,1,83319,0,0,94682,24186,503,1,1,1,ELSS,0
425885,39,1,1,21,185162,87796,81216,36144,21600,0,0,109945,55176,20530,39964,0,0,0,0,1,1,40055,19824,29470,1,1,1,SSY,1
2576106,44,0,1,16,1225256,469317,302366,70295,21600,1,200328,56264,9524,31880,39224,0,0,0,0,0,0,93736,15476,18120,1,1,1,PPF,0
3339806,46,1,3,14,1629051,727806,280348,365808,21600,0,0,67526,5299,45765,19956,1,171008,0,0,0,0,82474,19701,4235,1,1,1,PPF,0
1345482,43,0,1,17,563552,247583,246594,86391,21600,0,0,1759,9181,26838,2482,0,0,1,12079,0,1,148241,15819,23162,1,1,1,SSY,0
2268797,50,1,2,10,894148,427863,325158,145508,21600,1,197820,38565,25522,12342,40806,1,153177,0,0,1,0,111435,49478,37658,1,1,1,NSC,0
2210637,55,1,1,5,992219,304386,235734,61298,21600,1,162228,72258,7218,24160,20059,0,0,0,0,0,0,77742,17782,25840,1,1,1,NSC,0
334911,45,1,3,15,150781,52961,38574,36023,18093,0,0,16032,2198,20079,36220,1,168865,1,33236,1,0,133968,72802,29921,1,1,1,PPF,0
387955,32,0,2,28,172105,69246,56736,20303,20652,0,0,120307,11093,17771,29975,0,0,0,0,0,0,29693,13907,32229,1,1,1,ELSS,1
367642,44,1,2,16,158543,72671,40788,6147,19025,1,196464,126678,8996,16458,31889,0,0,0,0,0,0,23322,16004,33542,1,1,1,PPF,1
488456,55,1,2,5,171765,57407,91830,51222,20611,1,431844,47924,74182,27529,11664,0,0,0,0,1,0,102076,818,22471,1,1,1,NSC,0
1859161,23,0,2,37,719127,285726,213140,79350,21600,1,192552,116021,20534,23150,2711,1,170900,0,0,0,0,33979,4466,26850,1,1,1,ELSS,0
1931993,57,1,1,3,953024,322758,299072,109946,21600,0,0,54912,34008,60,9130,0,0,0,0,1,0,95088,40992,49940,1,1,1,NSC,0
3470082,24,0,1,36,1268190,480199,613828,400627,21600,1,496896,94006,57134,20491,1341,1,181410,0,0,1,0,55994,17866,29509,1,1,1,PPF,0
1359920,44,1,2,16,607883,287707,117213,109324,21600,0,0,29711,70342,41360,12182,0,0,0,0,1,1,120289,4658,8640,1,1,1,SSY,0
1824102,35,0,2,25,753836,376040,309017,12013,21600,1,274200,66150,21776,24077,9374,0,0,0,0,0,0,83850,3224,25923,1,1,1,ELSS,1
2847500,55,1,2,5,1241123,621795,411771,226087,21600,1,404244,79273,9323,15229,44481,0,0,1,112650,0,0,70727,15677,34771,1,1,1,NSC,0
3213014,34,1,3,26,1293581,636179,412010,185021,21600,1,298740,83691,58606,10616,37129,0,0,0,0,1,1,66309,16394,39384,1,1,1,SSY,0
550195,26,1,1,34,262950,125923,82910,18306,21600,1,484800,135566,15152,23895,9155,0,0,1,55028,0,0,14434,9848,26105,1,1,1,PPF,1
2635658,27,1,3,33,1313553,638174,231406,127011,21600,1,518364,41844,3564,34157,11593,0,0,0,0,0,1,108156,21436,15843,1,1,1,SSY,0
2873224,24,1,3,36,1228990,552207,410881,89725,21600,1,365100,112855,24578,28831,7906,0,0,0,0,0,0,37145,422,21169,1,1,1,ELSS,1
3244088,30,1,3,30,1268256,531613,276802,331750,21600,0,0,46542,9752,15585,25559,0,0,0,0,0,0,103458,15248,34415,1,1,1,ELSS,0
2025690,26,0,2,34,980782,537339,177008,214619,21600,1,282552,128322,1591,11303,30561,0,0,1,109616,1,0,21678,73409,38697,1,1,1,ELSS,0
3307749,45,1,2,15,1509175,768552,541467,269968,21600,1,89628,53947,22534,48874,49708,1,99138,1,88249,1,1,96053,52466,1126,1,1,1,SSY,0
2924159,51,1,1,9,1136922,395970,263442,114545,21600,1,443592,144059,4543,31575,1007,0,0,0,0,0,0,5941,20457,18425,1,1,1,NSC,1
1377833,53,1,2,7,645268,221609,237679,156626,21600,0,0,123797,8073,9077,20953,0,0,1,33821,0,0,26203,16927,40923,1,1,1,NSC,1
1463950,50,1,2,10,526793,266229,182437,143839,21600,0,0,11745,13025,36124,14288,0,0,1,78878,0,0,138255,11975,13876,1,1,1,NSC,0
3415804,50,0,3,10,1262823,652896,668091,12830,21600,1,530568,48901,63416,32196,5626,0,0,1,29982,1,0,101099,11584,17804,1,1,1,NSC,0
3391617,56,0,2,4,1427807,773940,346837,353524,21600,1,165384,82970,13997,20017,30707,0,0,0,0,0,1,67030,11003,29983,1,1,1,SSY,1
1256331,45,1,2,15,461822,152999,203862,64872,21600,0,0,74744,5109,49268,35201,1,135708,0,0,1,0,75256,69891,732,1,1,1,PPF,0
3441396,39,1,2,21,1543629,755243,668724,374899,21600,1,105144,46167,43408,39499,38559,0,0,0,0,1,0,103833,31592,10501,1,1,1,ELSS,0
1969211,41,0,3,19,847029,440991,177034,194837,21600,1,246300,50861,68577,105,9078,0,0,1,67660,1,0,99139,6423,49895,1,1,1,PPF,0
2108322,27,1,2,33,1033668,554911,326866,198204,21600,1,482376,98511,899,11653,27961,1,83662,0,0,0,0,51489,24101,38347,1,1,1,ELSS,0
452360,35,0,1,25,217480,77162,89161,18287,21600,0,0,110198,2356,4790,26911,0,0,0,0,0,0,39802,22644,45210,1,1,1,PPF,1
2240369,40,0,3,20,851186,400105,198639,8240,21600,0,0,112340,59321,956,34839,0,0,0,0,1,0,37660,15679,49044,1,1,1,PPF,1
926045,41,1,2,19,328198,130911,141446,66422,21600,1,206412,29426,17778,45241,42229,0,0,0,0,0,0,120574,7222,4759,1,1,1,PPF,0
3310087,42,1,1,18,1247745,448421,650655,71885,21600,1,115776,96059,1646,32781,4599,0,0,0,0,0,1,53941,23354,17219,1,1,1,SSY,1
2597574,27,1,1,33,912669,408057,394430,123642,21600,0,0,118154,19465,44738,33397,0,0,0,0,0,1,31846,5535,5262,1,1,1,SSY,1
682729,33,1,2,27,311335,106401,68350,3004,21600,1,133392,15563,3568,9847,26155,0,0,1,28309,0,0,134437,21432,40153,1,1,1,ELSS,0
2840476,41,0,1,19,1010929,334139,381373,318317,21600,0,0,140272,1229,25611,41235,1,182311,0,0,0,1,9728,23771,24389,1,1,1,SSY,0
3048385,46,1,3,14,1290463,602279,294956,10964,21600,0,0,128335,1969,43753,17275,0,0,1,117510,0,0,21665,23031,6247,1,1,1,PPF,0
3422951,50,1,3,10,1628356,873048,554483,204216,21600,1,497844,110448,17370,42823,37208,0,0,0,0,0,0,39552,7630,7177,1,1,1,NSC,1
2214142,37,1,2,23,827852,373558,261652,230210,21600,1,143088,118516,19614,488,39882,1,164044,0,0,0,0,31484,5386,49512,1,1,1,ELSS,0
2882117,40,1,3,20,1362305,449631,418883,1991,21600,0,0,27723,9108,12178,35643,0,0,0,0,1,0,122277,65892,37822,1,1,1,PPF,0
1180112,56,0,1,4,522699,217376,148191,122259,21600,1,378276,31348,1177,4760,32779,0,0,0,0,0,0,118652,23823,45240,1,1,1,NSC,0
2015499,57,1,3,3,994303,302823,208590,1829,21600,1,319524,39310,56088,8906,36914,0,0,1,47650,1,0,110690,18912,41094,1,1,1,NSC,0
1657133,25,0,1,35,714015,269774,253939,142410,21600,0,0,86365,19914,34054,48478,1,122588,0,0,0,0,63635,5086,15946,1,1,1,PPF,0
1830814,57,1,1,3,785373,257662,147032,140163,21600,1,173220,37384,31401,6295,35993,0,0,0,0,1,0,112616,43599,43705,1,1,1,NSC,0
2502263,40,1,2,20,931981,378371,246117,70634,21600,1,412128,17014,49104,41621,11695,0,0,0,0,1,0,132986,25896,8379,1,1,1,ELSS,0
864678,53,1,1,7,321025,118341,131124,70126,21600,1,337968,31910,22986,44311,29371,1,88467,0,0,0,0,118090,2014,5689,1,1,1,NSC,0
1424905,53,0,1,7,539725,205550,152748,60700,21600,0,0,72240,3713,5051,10756,0,0,0,0,0,1,77760,21287,44949,1,1,1,SSY,0
3047143,29,1,2,31,1372503,752865,485777,203957,21600,1,444084,131733,12075,30137,47556,0,0,0,0,0,0,18267,12925,19863,1,1,1,ELSS,1
3471320,37,1,2,23,1371615,747954,475523,159344,21600,0,0,48231,29301,26116,41323,0,0,0,0,1,0,101769,45699,23884,1,1,1,ELSS,0
968755,27,0,3,33,412714,140250,84836,13676,21600,0,0,124481,35585,30682,47864,0,0,0,0,1,0,25519,39415,19318,1,1,1,ELSS,1
2435219,44,1,3,16,1062213,469119,309090,146450,21600,1,362028,87468,1826,11421,45033,1,123861,0,0,0,0,62532,23174,38579,1,1,1,PPF,0
593894,35,0,2,25,238694,129826,93191,58615,21600,0,0,64309,20643,8286,5901,0,0,1,83965,0,0,85691,4357,41714,1,1,1,ELSS,0
445788,24,1,3,36,188004,80188,48103,4277,21600,1,202452,28179,22161,35262,12677,0,0,0,0,0,0,121821,2839,14738,1,1,1,ELSS,0
360545,44,0,1,16,129336,70968,31343,30070,15520,1,417528,28141,9074,6406,31823,0,0,0,0,1,0,121859,65926,43594,1,1,1,PPF,0
1919715,38,0,1,22,916092,440712,336048,93251,21600,1,237816,96774,1549,31174,9956,0,0,1,72646,0,0,53226,23451,18826,1,1,1,PPF,0
894305,48,1,3,12,338453,153907,106261,89534,21600,1,252624,100689,14308,671,163,0,0,0,0,0,0,49311,10692,49329,1,1,1,PPF,1
2801002,42,1,1,18,1116763,540892,384079,126343,21600,1,298524,117360,20584,30911,32784,0,0,1,74641,0,0,32640,4416,19089,1,1,1,PPF,0
742939,50,0,3,10,351982,149192,93879,40129,21600,0,0,7099,20310,25431,31186,0,0,1,32614,0,0,142901,4690,24569,1,1,1,NSC,0
2620484,29,0,1,31,945178,286414,510418,231915,21600,1,178392,125426,8964,39261,10759,0,0,0,0,0,0,24574,16036,10739,1,1,1,PPF,1
903103,49,1,3,11,406488,123006,99928,28254,21600,0,0,123257,20669,6910,46857,1,187050,1,69765,0,1,26743,4331,43090,1,1,1,SSY,0
3151596,53,1,3,7,1262970,671926,337075,140750,21600,1,538752,92949,12275,2461,14291,0,0,0,0,0,0,57051,12725,47539,1,1,1,NSC,1
1185421,42,0,3,18,578294,209955,202238,65511,21600,1,346932,55533,14571,42719,28927,0,0,1,53541,1,0,94467,60429,7281,1,1,1,PPF,0
2420539,50,1,1,10,1197608,505508,237409,99450,21600,1,384528,67260,1376,8706,8894,0,0,0,0,0,0,82740,23624,41294,1,1,1,NSC,0
329725,46,1,1,14,127604,61456,65620,3924,15312,1,414540,122721,11754,2520,3081,0,0,0,0,0,0,27279,13246,47480,1,1,1,FD,1
3394234,48,1,2,12,1619752,826058,610696,4493,21600,1,347136,146451,19018,36751,34546,1,62087,0,0,0,0,3549,5982,13249,1,1,1,PPF,1
3266201,25,0,2,35,1210693,563892,262032,69912,21600,0,0,64429,61627,33848,37804,0,0,0,0,1,0,85571,13373,16152,1,1,1,ELSS,1
2465251,50,1,1,10,1070163,482506,397339,238139,21600,0,0,109458,12080,3390,5997,0,0,0,0,0,0,40542,12920,46610,1,1,1,NSC,1
3380733,52,1,2,8,1556238,558634,421140,25372,21600,1,174216,147256,1019,21621,10028,0,0,0,0,0,0,2744,23981,28379,1,1,1,NSC,1
611955,48,1,3,12,301416,105716,90487,71939,21600,0,0,93808,10077,6397,32373,0,0,0,0,0,0,56192,14923,43603,1,1,1,PPF,1
1826322,40,0,2,20,690194,345553,246521,105846,21600,0,0,146150,56614,5105,29312,1,93619,0,0,1,0,3850,18386,44895,1,1,1,ELSS,0
3328149,52,1,2,8,1187114,366903,376368,110073,21600,1,451092,140905,7896,32972,49733,0,0,0,0,0,0,9095,17104,17028,1,1,1,NSC,1
2062999,41,1,2,19,960900,309031,223658,181324,21600,1,203016,65428,17833,11929,2539,1,199817,1,38228,0,0,84572,7167,38071,1,1,1,PPF,0
2646582,47,0,1,13,1310331,453052,218724,228667,21600,1,244224,129350,597,19446,2336,0,0,0,0,0,1,20650,24403,30554,1,1,1,SSY,1
3124219,43,1,2,17,1294347,433916,498945,81013,21600,0,0,96111,12722,12924,3750,0,0,0,0,0,0,53889,12278,37076,1,1,1,PPF,1
2910469,31,1,3,29,1399412,610440,497722,263376,21600,0,0,142055,18133,14939,781,0,0,0,0,0,0,7945,6867,35061,1,1,1,ELSS,1
2939929,49,1,1,11,1429931,621555,410818,37210,21600,1,337536,103850,6852,29450,2551,0,0,0,0,0,0,46150,18148,20550,1,1,1,FD,1
1269211,49,1,1,11,481508,252425,180764,68172,21600,1,236652,37711,6530,11116,258,1,182970,1,119472,0,0,112289,18470,38884,1,1,1,FD,0
2260155,22,0,2,38,897223,448295,443285,232400,21600,0,0,80685,12150,39951,25150,0,0,0,0,0,0,69315,12850,10049,1,1,1,ELSS,1
2774653,34,0,3,26,1025162,483584,252947,9777,21600,1,350604,32994,15036,11739,32220,0,0,1,10645,1,0,117006,59964,38261,1,1,1,ELSS,0
1510578,32,1,2,28,714334,371421,216091,44291,21600,0,0,91353,24765,30112,25556,0,0,1,81986,0,0,58647,235,19888,1,1,1,ELSS,0
968590,39,1,2,21,461259,192724,191289,73706,21600,0,0,129295,22433,1089,37346,0,0,0,0,0,0,20705,2567,48911,1,1,1,ELSS,1
629638,27,1,1,33,281090,133106,89105,23068,21600,0,0,140600,50100,44333,8179,1,103798,0,0,1,0,9400,24900,5667,1,1,1,PPF,0
2448091,34,1,2,26,918920,365215,307334,66606,21600,1,240444,126498,46738,38429,6142,0,0,0,0,1,0,23502,28262,11571,1,1,1,ELSS,1
439544,45,0,3,15,217977,110407,72049,44277,21600,1,400380,11002,13947,13686,29304,0,0,1,14493,0,0,138998,11053,36314,1,1,1,PPF,0
3176535,57,0,1,3,1255334,564384,367425,114324,21600,1,129924,8259,17371,14849,16232,0,0,0,0,0,0,141741,7629,35151,1,1,1,NSC,0
1157342,37,0,3,23,577878,296985,165006,8838,21600,1,154212,16288,7156,2044,7368,1,96403,1,96497,0,0,133712,17844,47956,1,1,1,PPF,0
612023,53,1,2,7,254105,125393,93168,65549,21600,1,234804,89906,9765,30483,12466,0,0,0,0,0,0,60094,15235,19517,1,1,1,NSC,1
3345915,25,0,2,35,1472529,715499,470943,254598,21600,0,0,137788,21259,28933,41689,1,162082,0,0,0,1,12212,3741,21067,1,1,1,SSY,0
1459608,50,1,2,10,614704,275213,210827,149604,21600,0,0,17543,4650,29075,37755,0,0,0,0,0,0,132457,20350,20925,1,1,1,NSC,0
565972,30,1,1,30,272786,121033,47292,45872,21600,0,0,83276,59518,44199,8210,0,0,1,65284,1,0,66724,15482,5801,1,1,1,PPF,0
1849420,33,1,1,27,847420,437031,148420,159251,21600,1,105120,67411,23377,46737,4033,0,0,0,0,0,1,82589,1623,3263,1,1,1,SSY,1
2684291,39,0,2,21,1102266,419158,456281,132928,21600,1,475320,141130,9101,12497,4658,1,155848,0,0,0,1,8870,15899,37503,1,1,1,SSY,0
1761331,27,0,3,33,654018,198119,230107,62359,21600,1,352368,67534,5476,9428,37437,0,0,0,0,0,0,82466,19524,40572,1,1,1,ELSS,0
3125494,45,1,3,15,1409425,519859,364925,295916,21600,1,475092,148930,18626,13467,39758,1,132279,1,57775,0,0,1070,6374,36533,1,1,1,PPF,0
637913,57,0,2,3,285058,88708,109356,72465,21600,0,0,117961,7611,17297,2011,0,0,0,0,0,0,32039,17389,32703,1,1,1,NSC,1
3326394,32,0,2,28,1272957,696318,447334,274736,21600,0,0,138141,9591,19799,33210,0,0,0,0,0,0,11859,15409,30201,1,1,1,ELSS,1
3175033,48,0,3,12,1260427,424468,439875,49548,21600,1,324624,8036,23173,30403,785,1,68800,0,0,0,0,141964,1827,19597,1,1,1,PPF,0
2155546,38,0,1,22,933473,406458,369521,215636,21600,1,174828,126060,24114,4857,340,0,0,0,0,0,0,23940,886,45143,1,1,1,PPF,1
2864395,32,1,1,28,1193325,544822,397199,138102,21600,1,302628,57169,2151,9429,46840,1,134754,0,0,0,0,92831,22849,40571,1,1,1,PPF,0
2904884,29,0,2,31,1436768,757699,484119,185931,21600,1,399696,44789,22922,26086,16859,0,0,0,0,0,0,105211,2078,23914,1,1,1,ELSS,0
890381,33,1,3,27,412418,174445,103545,52505,21600,1,222324,2454,20878,12991,2808,0,0,0,0,0,0,147546,4122,37009,1,1,1,ELSS,0
1462189,48,1,3,12,721454,252594,136146,149838,21600,1,240864,102239,40510,48933,21826,0,0,0,0,1,0,47761,34490,1067,1,1,1,PPF,1
2945485,52,1,3,8,1416210,611528,459216,227793,21600,1,203328,52887,49847,20536,27810,1,60503,1,21590,1,0,97113,25153,29464,1,1,1,NSC,0
1865213,28,0,1,32,654409,349632,333185,181115,21600,1,410616,75969,15038,28182,11528,0,0,0,0,0,0,74031,9962,21818,1,1,1,PPF,1
662462,32,0,1,28,239047,128793,94539,23814,21600,0,0,59766,12449,24297,40591,0,0,0,0,1,1,90234,62551,25703,1,1,1,SSY,0
940473,34,1,1,26,370430,125235,105276,2485,21600,1,401448,67904,15592,22173,33204,0,0,0,0,1,0,82096,59408,27827,1,1,1,PPF,0
754418,46,0,3,14,330344,150701,66851,61797,21600,0,0,104859,16237,41971,8244,1,96101,0,0,0,0,45141,8763,8029,1,1,1,PPF,0
1579180,44,1,2,16,747847,359288,177792,76264,21600,0,0,58608,23545,31897,3167,0,0,1,72551,0,1,91392,1455,18103,1,1,1,SSY,0
2324241,29,0,1,31,849007,331162,261354,235039,21600,0,0,147281,15246,25394,43148,0,0,0,0,0,0,2719,9754,24606,1,1,1,PPF,1
1207211,58,0,1,2,575401,269841,116729,36829,21600,1,417552,98826,22288,28099,45486,1,128356,0,0,0,1,51174,2712,21901,1,1,1,SSY,0
2665138,33,1,1,27,1278927,535860,248703,202899,21600,1,168996,38342,20456,13324,2257,0,0,0,0,0,0,111658,4544,36676,1,1,1,PPF,0
643567,30,1,2,30,290681,131369,74290,10549,21600,1,342648,62491,55621,49131,19604,0,0,0,0,1,0,87509,19379,869,1,1,1,ELSS,1
616480,57,0,1,3,288082,125589,56706,50899,21600,0,0,18199,3841,42965,8016,0,0,0,0,0,0,131801,21159,7035,1,1,1,NSC,0
3208056,24,1,2,36,1346146,728096,456454,260831,21600,0,0,19611,11023,11950,10704,0,0,1,13866,0,0,130389,13977,38050,1,1,1,ELSS,0
987605,51,0,1,9,396296,192107,105467,76068,21600,1,461844,52870,23779,20936,4426,1,77606,0,0,0,0,97130,1221,29064,1,1,1,NSC,0
573452,43,0,3,17,252602,105676,49985,46218,21600,1,319284,98934,11908,26423,43615,0,0,0,0,0,1,51066,13092,23577,1,1,1,SSY,1
2059771,43,0,1,17,913224,452347,307721,36325,21600,1,220548,7006,19867,8682,33840,1,73989,0,0,0,0,142994,5133,41318,1,1,1,PPF,0
2416142,52,1,1,8,1074309,442527,232222,277740,21600,1,290004,128557,23941,44605,19029,1,81433,0,0,0,0,21443,1059,5395,1,1,1,NSC,1
2834622,51,1,3,9,1278846,427453,565217,179340,21600,1,399936,112911,12867,25851,31279,0,0,1,86221,0,1,37089,12133,24149,1,1,1,SSY,0
1175512,33,0,2,27,521164,284187,120857,111804,21600,1,396012,34064,14122,24820,2895,1,189783,0,0,0,0,115936,10878,25180,1,1,1,ELSS,0
1749991,51,1,1,9,655205,289123,302040,104767,21600,0,0,22601,20003,18020,8155,1,69710,0,0,0,0,127399,4997,31980,1,1,1,NSC,0
2001591,23,1,3,37,821482,430177,160233,216504,21600,0,0,55841,2176,20127,41560,1,135744,0,0,0,0,94159,22824,29873,1,1,1,ELSS,0
1840724,51,1,3,9,861702,312582,271854,79205,21600,1,245004,112492,20083,32598,29961,1,59256,0,0,0,0,37508,4917,17402,1,1,1,NSC,1
1439904,38,0,2,22,659294,290637,189059,56387,21600,1,73584,99003,14534,23854,42998,1,57812,0,0,0,0,50997,10466,26146,1,1,1,ELSS,0
695395,44,1,2,16,262803,100624,126981,17279,21600,0,0,63353,16654,45026,35236,0,0,0,0,0,0,86647,8346,4974,1,1,1,PPF,1
